SYMB,MM/DD/YY,NAV
CUUR0000AA0,05/01/1931,45.8
CUUR0000AA0,04/01/1931,46.3
CUUR0000AA0,03/01/1931,46.6
CUUR0000AA0,02/01/1931,46.9
CUUR0000AA0,01/01/1931,47.6
CUUR0000AA0,12/01/1930,48.3
CUUR0000AA0,11/01/1930,49.0
CUUR0000AA0,10/01/1930,49.4
CUUR0000AA0,09/01/1930,49.7
CUUR0000AA0,08/01/1930,49.4
CUUR0000AA0,07/01/1930,49.7
CUUR0000AA0,06/01/1930,50.4
CUUR0000AA0,05/01/1930,50.7
CUUR0000AA0,04/01/1930,51.0
CUUR0000AA0,03/01/1930,50.7
CUUR0000AA0,02/01/1930,51.0
CUUR0000AA0,01/01/1930,51.2
CUUR0000AA0,12/01/1929,51.4
CUUR0000AA0,11/01/1929,51.7
CUUR0000AA0,10/01/1929,51.8
CUUR0000AA0,09/01/1929,51.8
CUUR0000AA0,08/01/1929,51.9
CUUR0000AA0,07/01/1929,51.7
CUUR0000AA0,06/01/1929,51.2
CUUR0000AA0,05/01/1929,51.0
CUUR0000AA0,04/01/1929,50.7
CUUR0000AA0,03/01/1929,50.9
CUUR0000AA0,02/01/1929,51.1
CUUR0000AA0,01/01/1929,51.2
CUUR0000AA0,12/01/1928,51.3
CUUR0000AA0,11/01/1928,51.5
CUUR0000AA0,10/01/1928,51.6
CUUR0000AA0,09/01/1928,51.7
CUUR0000AA0,08/01/1928,51.3
CUUR0000AA0,07/01/1928,51.2
CUUR0000AA0,06/01/1928,51.2
CUUR0000AA0,05/01/1928,51.6
CUUR0000AA0,04/01/1928,51.3
CUUR0000AA0,03/01/1928,51.2
CUUR0000AA0,02/01/1928,51.2
CUUR0000AA0,01/01/1928,51.7
CUUR0000AA0,12/01/1927,51.8
CUUR0000AA0,11/01/1927,51.9
CUUR0000AA0,10/01/1927,52.0
CUUR0000AA0,09/01/1927,51.7
CUUR0000AA0,08/01/1927,51.4
CUUR0000AA0,07/01/1927,51.7
CUUR0000AA0,06/01/1927,52.7
CUUR0000AA0,05/01/1927,52.2
CUUR0000AA0,04/01/1927,51.8
CUUR0000AA0,03/01/1927,51.8
CUUR0000AA0,02/01/1927,52.1
CUUR0000AA0,01/01/1927,52.5
CUUR0000AA0,12/01/1926,52.9
CUUR0000AA0,11/01/1926,52.9
CUUR0000AA0,10/01/1926,52.7
CUUR0000AA0,09/01/1926,52.5
CUUR0000AA0,08/01/1926,52.2
CUUR0000AA0,07/01/1926,52.5
CUUR0000AA0,06/01/1926,53.0
CUUR0000AA0,05/01/1926,53.4
CUUR0000AA0,04/01/1926,53.7
CUUR0000AA0,03/01/1926,53.2
CUUR0000AA0,02/01/1926,53.5
CUUR0000AA0,01/01/1926,53.7
CUUR0000AA0,12/01/1925,53.7
CUUR0000AA0,11/01/1925,54.0
CUUR0000AA0,10/01/1925,53.1
CUUR0000AA0,09/01/1925,52.9
CUUR0000AA0,08/01/1925,53.1
CUUR0000AA0,07/01/1925,53.1
CUUR0000AA0,06/01/1925,52.4
CUUR0000AA0,05/01/1925,51.8
CUUR0000AA0,04/01/1925,51.6
CUUR0000AA0,03/01/1925,51.7
CUUR0000AA0,02/01/1925,51.6
CUUR0000AA0,01/01/1925,51.8
CUUR0000AA0,12/01/1924,51.7
CUUR0000AA0,11/01/1924,51.6
CUUR0000AA0,10/01/1924,51.4
CUUR0000AA0,09/01/1924,51.2
CUUR0000AA0,08/01/1924,51.0
CUUR0000AA0,07/01/1924,51.1
CUUR0000AA0,06/01/1924,51.0
CUUR0000AA0,05/01/1924,51.0
CUUR0000AA0,04/01/1924,51.0
CUUR0000AA0,03/01/1924,51.2
CUUR0000AA0,02/01/1924,51.5
CUUR0000AA0,01/01/1924,51.7
CUUR0000AA0,12/01/1923,51.8
CUUR0000AA0,11/01/1923,51.8
CUUR0000AA0,10/01/1923,51.7
CUUR0000AA0,09/01/1923,51.6
CUUR0000AA0,08/01/1923,51.3
CUUR0000AA0,07/01/1923,51.5
CUUR0000AA0,06/01/1923,51.0
CUUR0000AA0,05/01/1923,50.7
CUUR0000AA0,04/01/1923,50.6
CUUR0000AA0,03/01/1923,50.4
CUUR0000AA0,02/01/1923,50.2
